Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
MIMAT0001419	mir-433	mmu-	miR-433-5p	Benzo(a)pyrene	Mus musculus	in vivo (colon)	down-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001419	mir-433	mmu-	miR-433-5p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	Up-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001419	mir-433	mmu-	miR-433-5p	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	down-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001419	mir-433	mmu-	miR-433-5p	Benzo(a)pyrene	Mus musculus	in vivo (liver)	Up-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001419	mir-433	mmu-	miR-433-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Up-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001422	mir-434	mmu-	miR-434-3p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001422	mir-434	mmu-	miR-434-3p	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	down-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001422	mir-434	mmu-	miR-434-3p	Benzo(a)pyrene	Mus musculus	in vivo (liver)	Up-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001422	mir-434	mmu-	miR-434-3p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	down-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0001421	mir-434	mmu-	miR-434-5p	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	Up-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	hsa-	miR-4433-3p	Chromium	Homo sapiens	in vivo (plasma)	downregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
MIMAT0018993	NA	hsa-	miR-4466	Chromium	Homo sapiens	in vivo (plasma)	downregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
MIMAT0019006	NA	hsa-	miR-4478	Toluene	Homo sapiens	In vitro (HL-60 cells) human leukemia	 	Lim J, Song M-K, Cho Y, Kim W, Han SO, Ryu J-C. Comparative analysis of microRNA and mRNA expression profiles in cells and exosomes under toluene exposure. Toxicology in Vitro [Internet]. Elsevier BV; 2017 Jun;41:92–101. Available from: http://dx.doi.org/10.1016/j.tiv.2017.02.020	1,11
NA	NA	rno-	miR-448	Lead	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	up-regulated in exposed rats	An J, Cai T, Che H, Yu T, Cao Z, Liu X, et al. The changes of miRNA expression in rat hippocampus following chronic lead exposure. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):158–66. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.002	1,02
MIMAT0001534	mir-448	rno-	miR-448-3p	Aluminium+Fluorine	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	Up-regulated after exposure to different concentrations in hippocampus	Ge Q-D, Xie C, Zhang H, Tan Y, Wan C-W, Wang W-J, et al. Differential Expression of miRNAs in the Hippocampi of Offspring Rats Exposed to Fluorine Combined with Aluminum during the Embryonic Stage and into Adulthood. Biological Trace Element Research [Internet]. Springer Science and Business Media LLC; 2018 Jul 22;189(2):463–77. Available from: http://dx.doi.org/10.1007/s12011-018-1445-4	1
MIMAT0017177	mir-448	rno-	miR-448-5p	Aluminium+Fluorine	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	Up-regulated after exposure to different concentrations in hippocampus	Ge Q-D, Xie C, Zhang H, Tan Y, Wan C-W, Wang W-J, et al. Differential Expression of miRNAs in the Hippocampi of Offspring Rats Exposed to Fluorine Combined with Aluminum during the Embryonic Stage and into Adulthood. Biological Trace Element Research [Internet]. Springer Science and Business Media LLC; 2018 Jul 22;189(2):463–77. Available from: http://dx.doi.org/10.1007/s12011-018-1445-4	1
NA	NA	rno-	miR-449a	Lead	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	up-regulated in exposed rats	An J, Cai T, Che H, Yu T, Cao Z, Liu X, et al. The changes of miRNA expression in rat hippocampus following chronic lead exposure. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):158–66. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.002	1,02
NA	NA	bbe-	miR-45	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0001633	mir-451	rno-	miR-451-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0001631	mir-451	hsa-	miR-451a	Titanium	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Chen W, Fu W, Deng Q, Li Y, Wang K, Bai Y, et al. Multiple metals exposure and chromosome damage: Exploring the mediation effects of microRNAs and their potentials in lung carcinogenesis. Environment International [Internet]. Elsevier BV; 2019 Jan;122:291–300. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.020	1
MIMAT0001631	mir-451	hsa-	miR-451a	Antimony	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0001631	mir-451	hsa-	miR-451a	Iron	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0001631	mir-451	hsa-	miR-451a	Mercury	Homo sapiens	in vivo (plasma)	upregulated in exposed workers on plasma microarrays	Ding E, Zhao Q, Bai Y, Xu M, Pan L, Liu Q, et al. Plasma microRNAs expression profile in female workers occupationally exposed to mercury. Journal of Thoracic Disease [Internet]. AME Publishing Company; 2016 May;8(5):833–41. Available from: http://dx.doi.org/10.21037/jtd.2016.03.36	1
MIMAT0001631	mir-451	hsa-	miR-451a	Benzene	Homo sapiens	in vitro (CD34+ cells)	consistency changed	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
MIMAT0001631	mir-451	hsa-	miR-451a	Benzene	Homo sapiens	In vivo (bone marrow)	Down-regulated in bone marrow from patients with chronic occupational benzene poisoning	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
MIMAT0001631	mir-451	hsa-	miR-451a	hydroquinone	Homo sapiens	In vitro (CD34+ HPCs ex vivo cells)	Promotes erythroid differentiation.Down-regulated after HQ exposure (concentrations of 1.0, 2.5 and 5.0 µM for 5, 8 and 12 days). HQ is a Benzene metabolite	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
MIMAT0001631	mir-451	hsa-	miR-451a	hydroquinone	Homo sapiens	In vitro (K562 cells) myelogenous leukemia	Down-regulated after HQ exposure (concentrations of 1.0, 2.5 and 5.0 µM for 5, 8 and 12 days). HQ is a Benzene metabolite	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
MIMAT0001632	mir-451	mmu-	miR-451a	Benzene	Mus musculus	in vivo (C57BL/6J) bone marrow	Down-regulated in peripheral blood after benzene inhalation treatment	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
MIMAT0001632	mir-451	mmu-	miR-451a	Benzene	Mus musculus	in vivo (C57BL/6J mice’s Lin− HSCs) bone marrow	have important role in the regulation of hematopoiesis	Wei H, Zhang J, Tan K, Sun R, Yin L, Pu Y. Benzene-Induced Aberrant miRNA Expression Profile in Hematopoietic Progenitor Cells in C57BL/6 Mice. International Journal of Molecular Sciences [Internet]. MDPI AG; 2015 Nov 12;16(11):27058–71. Available from: http://dx.doi.org/10.3390/ijms161126001	1
MIMAT0035749	mir-452	rno-	miR-452-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0001635	mir-452	hsa-	miR-452-5p	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0017308	mir-455	rno-	miR-455-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0003742	mir-455	mmu-	miR-455-3p	Benzene	Mus musculus	in vivo (C57BL/6J mice’s Lin− HSCs) bone marrow	 	Wei H, Zhang J, Tan K, Sun R, Yin L, Pu Y. Benzene-Induced Aberrant miRNA Expression Profile in Hematopoietic Progenitor Cells in C57BL/6 Mice. International Journal of Molecular Sciences [Internet]. MDPI AG; 2015 Nov 12;16(11):27058–71. Available from: http://dx.doi.org/10.3390/ijms161126001	1
MIMAT0017308	mir-455	rno-	miR-455-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively downregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0005316	mir-455	rno-	miR-455-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0003150	mir-455	hsa-	miR-455-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0003485	mir-455	mmu-	miR-455-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	mmu-	miR-463	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-464	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Up-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-464	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-465	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	Up-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-465	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Up-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-465	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0017286	mir-467	rno-	miR-466b-2-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0017287	mir-467	rno-	miR-466c-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0005279	mir-467	rno-	miR-466c-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0004877	mir-466	mmu-	miR-466c-5p	Benzene and Toluene	Mus musculus	in vivo (lung)	bioinformatic analysis suggested their association with regulation of different biological processes as chemochine signaling, Wnt signalling, neuroactive ligand-receptor interaction, cancer and cell adhesion	Wang F, Li C, Liu W, Jin Y. Modulation of microRNA expression by volatile organic compounds in mouse lung. Environmental Toxicology [Internet]. Wiley; 2012 Jul 30;29(6):679–89. Available from: http://dx.doi.org/10.1002/tox.21795	1
MIMAT0017824	mir-467	rno-	miR-466d	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0004881	mir-467	mmu-	miR-466f-5p	Benzo(a)pyrene	Mus musculus	Developmental biology (whole body)	downreagulated in embryo from sperma of  exposed mice.	Brevik A, Lindeman B, Brunborg G, Duale N. Paternal Benzo[a]pyrene Exposure Modulates MicroRNA Expression Patterns in the Developing Mouse Embryo. International Journal of Cell Biology [Internet]. Hindawi Limited; 2012;2012:1–11. Available from: http://dx.doi.org/10.1155/2012/407431	1
MIMAT0005846	mir-467	mmu-	miR-467f	Benzo(a)pyrene	Mus musculus	Developmental biology (whole body)	upreagulated in embryo from sperma of exposed mice.	Brevik A, Lindeman B, Brunborg G, Duale N. Paternal Benzo[a]pyrene Exposure Modulates MicroRNA Expression Patterns in the Developing Mouse Embryo. International Journal of Cell Biology [Internet]. Hindawi Limited; 2012;2012:1–11. Available from: http://dx.doi.org/10.1155/2012/407431	1
NA	NA	mmu-	miR-469	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	Up-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-470	Benzo(a)pyrene	Mus musculus	in vivo (colon)	down-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-470	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-471	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	Up-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0019868	NA	hsa-	miR-4739	Chromium	Homo sapiens	in vivo (plasma)	downregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
MIMAT0019871	NA	hsa-	miR-4741	Chromium	Homo sapiens	in vivo (plasma)	downregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
MIMAT0019956	NA	hsa-	miR-4787-5p	Chromium	Homo sapiens	in vivo (plasma)	upregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
NA	NA	mmu-	miR-483	Benzo(a)pyrene	Mus musculus	Developmental biology (whole body)	downreagulated in embryo from sperma of  exposed mice.	Brevik A, Lindeman B, Brunborg G, Duale N. Paternal Benzo[a]pyrene Exposure Modulates MicroRNA Expression Patterns in the Developing Mouse Embryo. International Journal of Cell Biology [Internet]. Hindawi Limited; 2012;2012:1–11. Available from: http://dx.doi.org/10.1155/2012/407431	1
NA	NA	mmu-	miR-483	Benzo(a)pyrene	Mus musculus	in vivo (liver)	down-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-483	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003121	mir-483	rno-	miR-483-3p	Benzo(a)pyrene	Rattus norvegicus domestica (Sprague Dawley)	In vitro (primary cell cultures of hepatocytes)	miR-483-3p overexpressed after exposure	Filippov SV, Yarushkin AA, Kalinina TS, Ovchinnikov VY, Knyazev RA, Gulyaeva LF. Effect of Benzo(a)pyrene on the Expression of miR-483-3p in Hepatocyte Primary Culture and Rat Liver. Biochemistry (Moscow) [Internet]. Pleiades Publishing Ltd; 2019 Oct;84(10):1197–203. Available from: http://dx.doi.org/10.1134/s0006297919100080	1
MIMAT0003121	mir-483	rno-	miR-483-3p	Benzo(a)pyrene	Rattus norvegicus domestica (Sprague Dawley)	in vivo (liver)	miR-483-3p overexpressed after exposure	Filippov SV, Yarushkin AA, Kalinina TS, Ovchinnikov VY, Knyazev RA, Gulyaeva LF. Effect of Benzo(a)pyrene on the Expression of miR-483-3p in Hepatocyte Primary Culture and Rat Liver. Biochemistry (Moscow) [Internet]. Pleiades Publishing Ltd; 2019 Oct;84(10):1197–203. Available from: http://dx.doi.org/10.1134/s0006297919100080	1
MIMAT0017201	mir-483	rno-	miR-483-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	hsa-	miR-486	Mercury	Homo sapiens	in vitro (HEK 293)  Human embryonic kidney	overexpressed after exposure	Ding E, Guo J, Bai Y, Zhang H, Liu X, Cai W, et al. MiR-92a and miR-486 are potential diagnostic biomarkers for mercury poisoning and jointly sustain NF-κB activity in mercury toxicity. Scientific Reports [Internet]. Springer Science and Business Media LLC; 2017 Nov 22;7(1). Available from: http://dx.doi.org/10.1038/s41598-017-13230-5	1
NA	NA	hsa-	miR-486	Benzene	Homo sapiens	in vitro (CD34+ cells)	consistency changed	Liang B, Chen Y, Yuan W, Qin F, Zhang Q, Deng N, et al. Down-regulation of miRNA-451a and miRNA-486-5p involved in benzene-induced inhibition on erythroid cell differentiation in vitro and in vivo. Archives of Toxicology [Internet]. Springer Science and Business Media LLC; 2017 Jul 21;92(1):259–72. Available from: http://dx.doi.org/10.1007/s00204-017-2033-7	1
